"","ResponseID","Finished","MTurkCode","Q_TotalDuration","Age","NativeLang","BeganEnglish","SpeechProb","NP","Rating","ArbCont","Coll","Meas","Quant","FullCont","Type","ItemNr","OneThing","MoreThings"
"323","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.pack.of.matches","a. One thing",0,0,0,0,1,"FullCont",3,1,0
"324","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","all.pies","b. More than one thing",0,0,0,1,0,"Quant",4,0,1
"325","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","many.clocks","b. More than one thing",0,0,0,1,0,"Quant",5,0,1
"327","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.heap.of.blankets","b. More than one thing",0,1,0,0,0,"Coll",7,0,1
"328","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.smattering.of.magazines","b. More than one thing",0,0,1,0,0,"Meas",8,0,1
"329","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"330","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.matchbox.of.needles","a. One thing",0,0,0,0,1,"FullCont",10,1,0
"331","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.bunch.of.folders","b. More than one thing",0,0,1,0,0,"Meas",11,0,1
"332","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.bottle.of.pills","a. One thing",0,0,0,0,1,"FullCont",12,1,0
"333","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.stack.of.sandwiches","b. More than one thing",0,1,0,0,0,"Coll",13,0,1
"334","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"336","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.crowd.of.onlookers","b. More than one thing",0,1,0,0,0,"Coll",16,0,1
"340","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"341","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"342","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"343","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"344","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.pile.of.pucks","b. More than one thing",0,1,0,0,0,"Coll",24,0,1
"345","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.crate.of.tangerines","b. More than one thing",0,0,0,0,1,"FullCont",25,0,1
"346","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
"347","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.set.of.dvds","b. More than one thing",0,1,0,0,0,"Coll",27,0,1
"348","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"350","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","more.chips","b. More than one thing",0,0,0,1,0,"Quant",30,0,1
"351","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.bin.of.baseballs","b. More than one thing",0,0,0,1,0,"FullCont",31,0,1
"352","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.sack.of.potatoes","a. One thing",0,0,0,0,1,"FullCont",32,1,0
"353","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.troop.of.preschoolers","b. More than one thing",0,1,0,0,0,"Coll",33,0,1
"354","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.tube.of.balls","a. One thing",0,0,0,1,0,"FullCont",34,1,0
"355","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.lot.of.postcards","b. More than one thing",0,0,1,0,0,"Meas",35,0,1
"356","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.number.of.bags","b. More than one thing",0,0,1,0,0,"Meas",36,0,1
"357","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","a.group.of.llamas","b. More than one thing",0,1,0,0,0,"Coll",37,0,1
"360","R_2CiWQpwXu032HFW",1,909745,1568,33,"English","","No","both.pans","b. More than one thing",0,0,0,1,0,"Quant",40,0,1
"401","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.vase.of.cattails","a. One thing",0,0,0,0,1,"FullCont",1,1,0
"402","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.variety.of.mugs","a. One thing",0,0,1,0,0,"Meas",2,1,0
"403","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.pack.of.matches","b. More than one thing",0,0,0,0,1,"FullCont",3,0,1
"404","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","all.pies","b. More than one thing",0,0,0,1,0,"Quant",4,0,1
"405","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","many.clocks","b. More than one thing",0,0,0,1,0,"Quant",5,0,1
"407","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.heap.of.blankets","b. More than one thing",0,1,0,0,0,"Coll",7,0,1
"408","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.smattering.of.magazines","b. More than one thing",0,0,1,0,0,"Meas",8,0,1
"409","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","some.paintings","b. More than one thing",0,0,0,1,0,"Quant",9,0,1
"410","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.matchbox.of.needles","b. More than one thing",0,0,0,0,1,"FullCont",10,0,1
"411","R_2EhP82k1xQCwAWQ",1,690348,169,24,"English","","No","a.bunch.of.folders","b. More than one thing",0,0,1,0,0,"Meas",11,0,1
